,"Airborne Southwest ""Southwest"" (SWA) Aircraft","Airborne Southwest ""Southwest"" (SWA) Aircraft","Airborne Southwest ""Southwest"" (SWA) Aircraft","Airborne Southwest ""Southwest"" (SWA) Aircraft","Airborne Southwest ""Southwest"" (SWA) Aircraft","Airborne Southwest ""Southwest"" (SWA) Aircraft","Airborne Southwest ""Southwest"" (SWA) Aircraft","Airborne Southwest ""Southwest"" (SWA) Aircraft"
187,SWA2382,B737,Dallas Love Fld (KDAL),Lubbock Smith Intl (KLBB),Tue 06:12PM CDT,Tue 07:01PM CDT,,
188,SWA2393,B737,Eppley Airfield (KOMA),Harry Reid Intl (KLAS),Tue 06:52PM CDT,Tue 07:21PM PDT,,
189,SWA2394,B737,Reagan National (KDCA),Hartsfield-Jackson Intl (KATL),Tue 07:48PM EDT,Tue 09:30PM EDT,,
190,SWA2398,B738,New Orleans Intl (KMSY),Los Angeles Intl (KLAX),Tue 03:52PM CDT,Tue 05:34PM PDT,,
191,SWA2406,B737,Fort Lauderdale Intl (KFLL),Baltimore/Washington Intl (KBWI),Tue 05:53PM EDT,Tue 07:57PM EDT,,
192,SWA2410,B738,Hartsfield-Jackson Intl (KATL),Baltimore/Washington Intl (KBWI),Tue 07:34PM EDT,Tue 08:57PM EDT,,
193,SWA2418,B737,Metro Oakland Intl (KOAK),Bob Hope (KBUR),Tue 04:45PM PDT,Tue 05:37PM PDT,,
194,SWA2420,B737,Chicago Midway Intl (KMDW),Pittsburgh Intl (KPIT),Tue 06:31PM CDT,Tue 08:25PM EDT,,
195,SWA2421,B737,Long Island MacArthur (KISP),Palm Beach Intl (KPBI),Tue 06:30PM EDT,Tue 08:59PM EDT,,
196,SWA2424,B738,Tampa Intl (KTPA),Chicago Midway Intl (KMDW),Tue 05:43PM EDT,Tue 07:03PM CDT,,
197,SWA2429,B738,Baltimore/Washington Intl (KBWI),Hartsfield-Jackson Intl (KATL),Tue 06:41PM EDT,Tue 08:23PM EDT,,
198,SWA2443,B737,Harry Reid Intl (KLAS),Bellingham Intl (KBLI),Tue 02:36PM PDT,Tue 04:55PM PDT,,
199,SWA2468,B737,Birmingham-Shuttlesworth Intl (KBHM),William P Hobby (KHOU),Tue 06:41PM CDT,Tue 08:16PM CDT,,
200,SWA2474,B738,LaGuardia (KLGA),St Louis Lambert Intl (KSTL),Tue 06:47PM EDT,Tue 08:00PM CDT,,
201,SWA2476,B738,Orlando Intl (KMCO),Buffalo Niagara Intl (KBUF),Tue 07:41PM EDT,Tue 09:57PM EDT,,
202,SWA2477,B737,Dallas Love Fld (KDAL),Phoenix Sky Harbor Intl (KPHX),Tue 05:38PM CDT,Tue 05:49PM MST,,
203,SWA2483,B737,Palm Beach Intl (KPBI),Baltimore/Washington Intl (KBWI),Tue 06:15PM EDT,Tue 08:14PM EDT,,
204,SWA2505,B38M,Fort Lauderdale Intl (KFLL),St Louis Lambert Intl (KSTL),Tue 07:11PM EDT,Tue 08:45PM CDT,,
205,SWA2512,B737,Los Angeles Intl (KLAX),San Jose Int'l (KSJC),Tue 04:07PM PDT,Tue 05:00PM PDT,,
206,SWA2537,B737,Boston Logan Intl (KBOS),St Louis Lambert Intl (KSTL),Tue 07:10PM EDT,Tue 08:47PM CDT,,
207,SWA2538,B737,San Francisco Int'l (KSFO),Phoenix Sky Harbor Intl (KPHX),Tue 04:46PM PDT,Tue 06:17PM MST,,
208,SWA2540,B737,Lubbock Smith Intl (KLBB),Harry Reid Intl (KLAS),Tue 05:19PM CDT,Tue 05:08PM PDT,,
209,SWA2542,B737,San Diego Intl (KSAN),Austin-Bergstrom Intl (KAUS),Tue 03:46PM PDT,Tue 08:11PM CDT,,
210,SWA2543,B738,Orlando Intl (KMCO),Dallas Love Fld (KDAL),Tue 07:36PM EDT,Tue 08:55PM CDT,,
211,SWA2554,B738,Washington Dulles Intl (KIAD),Denver Intl (KDEN),Tue 06:24PM EDT,Tue 07:43PM MDT,,
212,SWA2558,B737,Orlando Intl (KMCO),Reagan National (KDCA),Tue 07:13PM EDT,Tue 09:00PM EDT,,
213,SWA2560,B38M,Dallas Love Fld (KDAL),Ontario Intl (KONT),Tue 06:06PM CDT,Tue 06:52PM PDT,,
214,SWA2564,B737,Denver Intl (KDEN),Chicago Midway Intl (KMDW),Tue 05:35PM MDT,Tue 08:19PM CDT,,
215,SWA2576,B737,Reagan National (KDCA),Nashville Intl (KBNA),Tue 07:21PM EDT,Tue 07:57PM CDT,,
216,SWA2582,B737,Manchester Boston Rgnl (KMHT),Chicago Midway Intl (KMDW),Tue 06:55PM EDT,Tue 07:58PM CDT,,
217,SWA2585,B737,St Louis Lambert Intl (KSTL),Milwaukee Mitchell Intl Airport (KMKE),Tue 06:05PM CDT,Tue 06:55PM CDT,,
218,SWA2590,B738,Phoenix Sky Harbor Intl (KPHX),William P Hobby (KHOU),Tue 03:07PM MST,Tue 07:06PM CDT,,
219,SWA2597,B738,Raleigh-Durham Intl (KRDU),Baltimore/Washington Intl (KBWI),Tue 07:41PM EDT,Tue 08:30PM EDT,,
220,SWA2598,B737,Dallas Love Fld (KDAL),Houston Bush Int'ctl (KIAH),Tue 06:47PM CDT,Tue 07:31PM CDT,,
221,SWA2601,B738,Baltimore/Washington Intl (KBWI),Charleston Intl/AFB (KCHS),Tue 07:46PM EDT,Tue 09:08PM EDT,,
222,SWA261,B738,Seattle-Tacoma Intl (KSEA),Phoenix Sky Harbor Intl (KPHX),Tue 03:43PM PDT,Tue 06:00PM MST,,
223,SWA2610,B738,Seattle-Tacoma Intl (KSEA),Denver Intl (KDEN),Tue 04:04PM PDT,Tue 07:02PM MDT,,
224,SWA2616,B738,LaGuardia (KLGA),Hartsfield-Jackson Intl (KATL),Tue 06:37PM EDT,Tue 08:41PM EDT,,
225,SWA2631,B38M,Baltimore/Washington Intl (KBWI),Jacksonville Intl (KJAX),Tue 07:40PM EDT,Tue 09:28PM EDT,,
226,SWA2638,B38M,Tampa Intl (KTPA),St Louis Lambert Intl (KSTL),Tue 07:26PM EDT,Tue 08:41PM CDT,,
227,SWA2640,B38M,Baltimore/Washington Intl (KBWI),Orlando Intl (KMCO),Tue 07:49PM EDT,Tue 09:54PM EDT,,
228,SWA2661,B38M,Sarasota/Bradenton Intl (KSRQ),Baltimore/Washington Intl (KBWI),Tue 06:58PM EDT,Tue 09:00PM EDT,,
229,SWA2672,B737,Baltimore/Washington Intl (KBWI),Nashville Intl (KBNA),Tue 07:06PM EDT,Tue 07:46PM CDT,,
230,SWA2677,B737,Chicago O'Hare Intl (KORD),Phoenix Sky Harbor Intl (KPHX),Tue 06:48PM CDT,Tue 08:05PM MST,,
231,SWA2681,B737,Hartsfield-Jackson Intl (KATL),San Antonio Intl (KSAT),Tue 07:43PM EDT,Tue 09:08PM CDT,,
232,SWA2688,B737,Austin-Bergstrom Intl (KAUS),Denver Intl (KDEN),Tue 05:21PM CDT,Tue 06:04PM MDT,,
233,SWA2698,B38M,Daniel K Inouye Intl (PHNL),Phoenix Sky Harbor Intl (KPHX),Tue 08:53AM HST,Tue 05:19PM MST,,
234,SWA2699,B38M,Austin-Bergstrom Intl (KAUS),Chicago Midway Intl (KMDW),Tue 05:30PM CDT,Tue 07:23PM CDT,,
235,SWA270,B738,Raleigh-Durham Intl (KRDU),Dallas Love Fld (KDAL),Tue 06:08PM EDT,Tue 07:42PM CDT,,
236,SWA2700,B737,San Diego Intl (KSAN),Dallas Love Fld (KDAL),Tue 04:49PM PDT,Tue 09:18PM CDT,,
237,SWA2706,B738,Harry Reid Intl (KLAS),Palm Springs Intl (KPSP),Tue 04:28PM PDT,Tue 05:01PM PDT,,
238,SWA2720,B38M,Miami Intl (KMIA),Chicago Midway Intl (KMDW),Tue 06:54PM EDT,Tue 08:39PM CDT,,
239,SWA2727,B738,Denver Intl (KDEN),San Antonio Intl (KSAT),Tue 04:47PM MDT,Tue 07:30PM CDT,,
240,SWA2729,B38M,Orlando Intl (KMCO),Baltimore/Washington Intl (KBWI),Tue 07:17PM EDT,Tue 09:10PM EDT,,
241,SWA2770,B737,Albuquerque Intl Sunport (KABQ),Denver Intl (KDEN),Tue 05:45PM MDT,Tue 06:49PM MDT,,
242,SWA2774,B737,San Antonio Intl (KSAT),Baltimore/Washington Intl (KBWI),Tue 05:45PM CDT,Tue 09:24PM EDT,,
243,SWA2782,B737,Sacramento Intl (KSMF),Phoenix Sky Harbor Intl (KPHX),Tue 03:34PM PDT,Tue 04:56PM MST,,
244,SWA2789,B38M,St Louis Lambert Intl (KSTL),Nashville Intl (KBNA),Tue 06:39PM CDT,Tue 07:18PM CDT,,
245,SWA2792,B738,Harry Reid Intl (KLAS),Kansas City Intl (KMCI),Tue 04:05PM PDT,Tue 08:19PM CDT,,
246,SWA2801,B38M,San Diego Intl (KSAN),Baltimore/Washington Intl (KBWI),Tue 01:51PM PDT,Tue 09:11PM EDT,,
247,SWA2802,B737,El Paso Intl (KELP),William P Hobby (KHOU),Tue 05:06PM MDT,Tue 07:28PM CDT,,
248,SWA2810,B738,Albuquerque Intl Sunport (KABQ),William P Hobby (KHOU),Tue 05:41PM MDT,Tue 08:17PM CDT,,
249,SWA2832,B737,Phoenix Sky Harbor Intl (KPHX),Orlando Intl (KMCO),Tue 01:45PM MST,Tue 08:12PM EDT,,
250,SWA2880,B737,Phoenix Sky Harbor Intl (KPHX),Baltimore/Washington Intl (KBWI),Tue 01:59PM MST,Tue 08:40PM EDT,,
251,SWA2897,B737,William P Hobby (KHOU),Reagan National (KDCA),Tue 06:27PM CDT,Tue 09:50PM EDT,,
252,SWA2902,B737,Daugherty Field (KLGB),San Jose Int'l (KSJC),Tue 04:04PM PDT,Tue 04:58PM PDT,,
253,SWA2914,B738,Orlando Intl (KMCO),Long Island MacArthur (KISP),Tue 07:38PM EDT,Tue 09:50PM EDT,,
254,SWA2929,B738,Portland Intl (KPDX),Denver Intl (KDEN),Tue 04:06PM PDT,Tue 07:05PM MDT,,
255,SWA2931,B38M,Daniel K Inouye Intl (PHNL),Los Angeles Intl (KLAX),Tue 11:36AM HST,Tue 07:26PM PDT,,
256,SWA2932,B38M,St Louis Lambert Intl (KSTL),Chicago Midway Intl (KMDW),Tue 06:12PM CDT,Tue 06:55PM CDT,,
257,SWA294,B738,Milwaukee Mitchell Intl Airport (KMKE),Harry Reid Intl (KLAS),Tue 05:29PM CDT,Tue 07:00PM PDT,,
258,SWA2941,B38M,Colorado Sprgs Muni (KCOS),Dallas Love Fld (KDAL),Tue 05:25PM MDT,Tue 07:45PM CDT,,
259,SWA296,B738,Boston Logan Intl (KBOS),Nashville Intl (KBNA),Tue 07:26PM EDT,Tue 08:49PM CDT,,
260,SWA2960,B738,Denver Intl (KDEN),Chicago O'Hare Intl (KORD),Tue 04:30PM MDT,Tue 07:22PM CDT,,
261,SWA2974,B737,Daugherty Field (KLGB),William P Hobby (KHOU),Tue 03:38PM PDT,Tue 08:18PM CDT,,
262,SWA2987,B737,Austin-Bergstrom Intl (KAUS),Phoenix Sky Harbor Intl (KPHX),Tue 05:03PM CDT,Tue 05:17PM MST,,
263,SWA2991,B738,Harry Reid Intl (KLAS),William P Hobby (KHOU),Tue 03:05PM PDT,Tue 07:27PM CDT,,
264,SWA2995,B38M,Harry Reid Intl (KLAS),Santa Barbara Muni (KSBA),Tue 04:07PM PDT,Tue 05:06PM PDT,,
265,SWA2997,B738,Dallas Love Fld (KDAL),Los Angeles Intl (KLAX),Tue 06:20PM CDT,Tue 07:20PM PDT,,
266,SWA3009,B738,Dallas Love Fld (KDAL),Hartsfield-Jackson Intl (KATL),Tue 06:08PM CDT,Tue 08:39PM EDT,,
267,SWA3018,B738,Baltimore/Washington Intl (KBWI),Orlando Intl (KMCO),Tue 06:48PM EDT,Tue 08:53PM EDT,,
268,SWA3026,B737,Pittsburgh Intl (KPIT),Hartsfield-Jackson Intl (KATL),Tue 07:22PM EDT,Tue 08:44PM EDT,,
269,SWA3027,B737,New Orleans Intl (KMSY),San Diego Intl (KSAN),Tue 03:51PM CDT,Tue 05:26PM PDT,,
270,SWA3029,B737,Dallas Love Fld (KDAL),Indianapolis Intl (KIND),Tue 06:00PM CDT,Tue 08:34PM EDT,,
271,SWA3034,B737,Chicago Midway Intl (KMDW),Denver Intl (KDEN),Tue 05:40PM CDT,Tue 06:45PM MDT,,
272,SWA3040,B38M,Harry Reid Intl (KLAS),Nashville Intl (KBNA),Tue 03:58PM PDT,Tue 08:55PM CDT,,
273,SWA3042,B738,Sacramento Intl (KSMF),Denver Intl (KDEN),Tue 03:12PM PDT,Tue 05:56PM MDT,,
274,SWA3044,B737,Dallas Love Fld (KDAL),St Louis Lambert Intl (KSTL),Tue 06:14PM CDT,Tue 07:27PM CDT,,
275,SWA3076,B738,Bradley Intl (KBDL),Chicago Midway Intl (KMDW),Tue 06:59PM EDT,Tue 08:01PM CDT,,
276,SWA308,B737,Cancun Int'l (CUN / MMUN),William P Hobby (KHOU),Tue 05:10PM EST,Tue 07:08PM CDT,,
277,SWA3087,B737,New Orleans Intl (KMSY),Baltimore/Washington Intl (KBWI),Tue 05:41PM CDT,Tue 08:38PM EDT,,
278,SWA3093,B737,San Diego Intl (KSAN),William P Hobby (KHOU),Tue 03:09PM PDT,Tue 07:51PM CDT,,
279,SWA3097,B38M,Portland Intl Jetport (KPWM),Chicago Midway Intl (KMDW),Tue 06:38PM EDT,Tue 07:51PM CDT,,
280,SWA3107,B737,Reagan National (KDCA),Tampa Intl (KTPA),Tue 07:12PM EDT,Tue 09:22PM EDT,,
281,SWA3109,B38M,Frederick Douglass/Greater Rochester Intl (KROC),Chicago Midway Intl (KMDW),Tue 07:50PM EDT,Tue 08:21PM CDT,,
282,SWA3148,B737,Portland Intl (KPDX),Metro Oakland Intl (KOAK),Tue 03:43PM PDT,Tue 05:02PM PDT,,
283,SWA3155,B38M,Ellison Onizuka Kona Intl At Keahole (KOA / PHKO),San Jose Int'l (KSJC),Tue 01:32PM HST,Tue 09:11PM PDT,,
284,SWA3165,B737,Kansas City Intl (KMCI),Denver Intl (KDEN),Tue 05:35PM CDT,Tue 06:00PM MDT,,
285,SWA3173,B38M,Denver Intl (KDEN),Seattle-Tacoma Intl (KSEA),Tue 03:41PM MDT,Tue 05:10PM PDT,,
286,SWA3179,B38M,Fort Lauderdale Intl (KFLL),Dallas Love Fld (KDAL),Tue 07:09PM EDT,Tue 08:42PM CDT,,
287,SWA3185,B737,Bradley Intl (KBDL),Orlando Intl (KMCO),Tue 06:34PM EDT,Tue 09:06PM EDT,,
288,SWA3197,B737,Baltimore/Washington Intl (KBWI),Orlando Intl (KMCO),Tue 07:14PM EDT,Tue 09:10PM EDT,,
289,SWA3198,B38M,Nashville Intl (KBNA),Phoenix Sky Harbor Intl (KPHX),Tue 06:34PM CDT,Tue 07:59PM MST,,
290,SWA3199,B737,Houston Bush Int'ctl (KIAH),Harry Reid Intl (KLAS),Tue 05:49PM CDT,Tue 06:45PM PDT,,
291,SWA3202,B737,Harry Reid Intl (KLAS),Portland Intl (KPDX),Tue 04:01PM PDT,Tue 06:06PM PDT,,
292,SWA3218,B738,Denver Intl (KDEN),Dallas Love Fld (KDAL),Tue 05:16PM MDT,Tue 07:43PM CDT,,
293,SWA3221,B737,St Louis Lambert Intl (KSTL),Harry Reid Intl (KLAS),Tue 06:08PM CDT,Tue 07:27PM PDT,,
294,SWA3224,B38M,Denver Intl (KDEN),Charleston Intl/AFB (KCHS),Tue 03:33PM MDT,Tue 08:06PM EDT,,
295,SWA3228,B737,Northwest Florida Beaches Intl (KECP),William P Hobby (KHOU),Tue 06:42PM CDT,Tue 08:16PM CDT,,
296,SWA3251,B38M,Austin-Bergstrom Intl (KAUS),Sacramento Intl (KSMF),Tue 04:59PM CDT,Tue 06:24PM PDT,,
297,SWA3284,B738,Baltimore/Washington Intl (KBWI),Harry Reid Intl (KLAS),Tue 03:13PM EDT,Tue 04:57PM PDT,,
298,SWA3300,B38M,Denver Intl (KDEN),Reno/Tahoe Intl (KRNO),Tue 04:18PM MDT,Tue 05:15PM PDT,,
299,SWA3306,B38M,Baltimore/Washington Intl (KBWI),New Orleans Intl (KMSY),Tue 07:28PM EDT,Tue 09:00PM CDT,,
300,SWA331,B737,Denver Intl (KDEN),LaGuardia (KLGA),Tue 04:37PM MDT,Tue 09:36PM EDT,,
301,SWA3315,B38M,New Orleans Intl (KMSY),Harry Reid Intl (KLAS),Tue 06:11PM CDT,Tue 07:33PM PDT,,
302,SWA3317,B738,Baltimore/Washington Intl (KBWI),Charlotte/Douglas Intl (KCLT),Tue 07:27PM EDT,Tue 08:29PM EDT,,
303,SWA3320,B38M,Salt Lake City Intl (KSLC),Baltimore/Washington Intl (KBWI),Tue 03:16PM MDT,Tue 08:48PM EDT,,
304,SWA3332,B737,San Jose Int'l (KSJC),William P Hobby (KHOU),Tue 02:19PM PDT,Tue 07:28PM CDT,,
305,SWA3357,B737,Reagan National (KDCA),Chicago Midway Intl (KMDW),Tue 06:21PM EDT,Tue 06:57PM CDT,,
306,SWA3369,B737,William P Hobby (KHOU),Orlando Intl (KMCO),Tue 05:46PM CDT,Tue 08:30PM EDT,,
307,SWA3382,B38M,Tampa Intl (KTPA),Denver Intl (KDEN),Tue 07:12PM EDT,Tue 08:36PM MDT,,
308,SWA3392,B738,Raleigh-Durham Intl (KRDU),Hartsfield-Jackson Intl (KATL),Tue 07:27PM EDT,Tue 08:41PM EDT,,
309,SWA3408,B737,Austin-Bergstrom Intl (KAUS),Dallas Love Fld (KDAL),Tue 06:19PM CDT,Tue 07:00PM CDT,,
310,SWA3424,B38M,Chicago O'Hare Intl (KORD),Harry Reid Intl (KLAS),Tue 04:29PM CDT,Tue 05:49PM PDT,,
311,SWA3428,B738,Denver Intl (KDEN),Salt Lake City Intl (KSLC),Tue 05:18PM MDT,Tue 06:30PM MDT,,
312,SWA3431,B737,LaGuardia (KLGA),Nashville Intl (KBNA),Tue 07:11PM EDT,Tue 08:06PM CDT,,
313,SWA3438,B738,Baltimore/Washington Intl (KBWI),Denver Intl (KDEN),Tue 05:14PM EDT,Tue 06:39PM MDT,,
314,SWA344,B738,Harry Reid Intl (KLAS),Sacramento Intl (KSMF),Tue 04:31PM PDT,Tue 05:46PM PDT,,
315,SWA3442,B737,Birmingham-Shuttlesworth Intl (KBHM),Harry Reid Intl (KLAS),Tue 03:43PM CDT,Tue 05:27PM PDT,,
316,SWA3442,B38M,Harry Reid Intl (KLAS),Phoenix Sky Harbor Intl (KPHX),Tue 04:42PM PDT,Tue 05:22PM MST,,
317,SWA3448,B737,Reagan National (KDCA),William P Hobby (KHOU),Tue 07:53PM EDT,Tue 10:12PM CDT,,
318,SWA3459,B38M,Phoenix Sky Harbor Intl (KPHX),Chicago Midway Intl (KMDW),Tue 02:00PM MST,Tue 06:57PM CDT,,
319,SWA3466,B737,Dallas Love Fld (KDAL),Chicago O'Hare Intl (KORD),Tue 06:39PM CDT,Tue 08:22PM CDT,,
320,SWA3473,B738,William P Hobby (KHOU),Denver Intl (KDEN),Tue 05:15PM CDT,Tue 06:11PM MDT,,
321,SWA3494,B737,Chicago Midway Intl (KMDW),LaGuardia (KLGA),Tue 05:56PM CDT,Tue 08:22PM EDT,,
322,SWA3499,B737,Fort Lauderdale Intl (KFLL),William P Hobby (KHOU),Tue 07:33PM EDT,Tue 08:53PM CDT,,
323,SWA3511,B737,Eppley Airfield (KOMA),Phoenix Sky Harbor Intl (KPHX),Tue 06:39PM CDT,Tue 06:55PM MST,,
324,SWA3555,B737,Kansas City Intl (KMCI),Hartsfield-Jackson Intl (KATL),Tue 05:51PM CDT,Tue 08:12PM EDT,,
325,SWA3557,B737,Los Angeles Intl (KLAX),Harry Reid Intl (KLAS),Tue 04:30PM PDT,Tue 05:07PM PDT,,
326,SWA3566,B738,Reagan National (KDCA),Austin-Bergstrom Intl (KAUS),Tue 06:07PM EDT,Tue 08:20PM CDT,,
327,SWA3567,B737,Rhode Island T. F. Green International Airport (KPVD),Chicago Midway Intl (KMDW),Tue 07:46PM EDT,Tue 09:03PM CDT,,
328,SWA3571,B737,Cleveland-Hopkins Intl (KCLE),Chicago Midway Intl (KMDW),Tue 07:15PM EDT,Tue 07:08PM CDT,,
329,SWA358,B737,San Diego Intl (KSAN),Metro Oakland Intl (KOAK),Tue 04:05PM PDT,Tue 05:12PM PDT,,
330,SWA3583,B737,Bob Hope (KBUR),San Jose Int'l (KSJC),Tue 04:36PM PDT,Tue 05:28PM PDT,,
331,SWA36,B738,Dallas Love Fld (KDAL),Orlando Intl (KMCO),Tue 05:11PM CDT,Tue 08:06PM EDT,,
332,SWA3606,B737,Austin-Bergstrom Intl (KAUS),San Jose Int'l (KSJC),Tue 04:47PM CDT,Tue 06:08PM PDT,,
333,SWA363,B737,Midland Intl Air and Space Port (KMAF),Harry Reid Intl (KLAS),Tue 06:11PM CDT,Tue 06:03PM PDT,,
334,SWA3633,B738,Baltimore/Washington Intl (KBWI),Muhammad Ali Intl (KSDF),Tue 07:37PM EDT,Tue 09:04PM EDT,,
335,SWA3649,B38M,Orlando Intl (KMCO),Chicago Midway Intl (KMDW),Tue 06:11PM EDT,Tue 07:34PM CDT,,
336,SWA3651,B737,Will Rogers World (KOKC),Hartsfield-Jackson Intl (KATL),Tue 06:04PM CDT,Tue 08:28PM EDT,,
337,SWA3657,B38M,William P Hobby (KHOU),John Glenn Columbus Intl Airport (KCMH),Tue 06:45PM CDT,Tue 09:42PM EDT,,
338,SWA3668,B737,Hartsfield-Jackson Intl (KATL),Chicago Midway Intl (KMDW),Tue 06:38PM EDT,Tue 07:08PM CDT,,
339,SWA3669,B738,Chicago Midway Intl (KMDW),Boston Logan Intl (KBOS),Tue 06:10PM CDT,Tue 08:55PM EDT,,
340,SWA367,B737,Harry Reid Intl (KLAS),John Wayne (KSNA),Tue 04:15PM PDT,Tue 04:54PM PDT,,
341,SWA370,B737,Phoenix Sky Harbor Intl (KPHX),Kansas City Intl (KMCI),Tue 04:29PM MST,Tue 08:33PM CDT,,
342,SWA3700,B738,Baltimore/Washington Intl (KBWI),Chicago Midway Intl (KMDW),Tue 06:52PM EDT,Tue 07:33PM CDT,,
343,SWA3704,B738,Denver Intl (KDEN),Hartsfield-Jackson Intl (KATL),Tue 04:51PM MDT,Tue 09:02PM EDT,,
344,SWA3718,B738,Tampa Intl (KTPA),Baltimore/Washington Intl (KBWI),Tue 07:22PM EDT,Tue 09:10PM EDT,,
345,SWA3722,B738,Indianapolis Intl (KIND),William P Hobby (KHOU),Tue 07:14PM EDT,Tue 08:28PM CDT,,
346,SWA3762,B737,Midland Intl Air and Space Port (KMAF),Dallas Love Fld (KDAL),Tue 06:40PM CDT,Tue 07:29PM CDT,,
347,SWA381,B738,John Glenn Columbus Intl Airport (KCMH),Hartsfield-Jackson Intl (KATL),Tue 07:20PM EDT,Tue 08:41PM EDT,,
348,SWA3810,B737,Albuquerque Intl Sunport (KABQ),Bob Hope (KBUR),Tue 04:28PM MDT,Tue 05:05PM PDT,,
349,SWA3818,B738,LaGuardia (KLGA),Tampa Intl (KTPA),Tue 06:43PM EDT,Tue 09:13PM EDT,,
350,SWA3870,B737,Hartsfield-Jackson Intl (KATL),Pittsburgh Intl (KPIT),Tue 07:48PM EDT,Tue 09:05PM EDT,,
351,SWA3889,B38M,Salt Lake City Intl (KSLC),Denver Intl (KDEN),Tue 05:49PM MDT,Tue 06:48PM MDT,,
352,SWA3948,B738,Fort Lauderdale Intl (KFLL),Nashville Intl (KBNA),Tue 06:55PM EDT,Tue 07:52PM CDT,,
353,SWA3970,B737,St Louis Lambert Intl (KSTL),Phoenix Sky Harbor Intl (KPHX),Tue 06:29PM CDT,Tue 07:29PM MST,,
354,SWA3975,B737,Salt Lake City Intl (KSLC),Dallas Love Fld (KDAL),Tue 04:17PM MDT,Tue 07:19PM CDT,,
355,SWA3985,B738,St Louis Lambert Intl (KSTL),Austin-Bergstrom Intl (KAUS),Tue 05:16PM CDT,Tue 06:58PM CDT,,
356,SWA3988,B38M,Buffalo Niagara Intl (KBUF),Orlando Intl (KMCO),Tue 06:11PM EDT,Tue 08:24PM EDT,,
357,SWA401,B738,Chicago Midway Intl (KMDW),Kansas City Intl (KMCI),Tue 06:35PM CDT,Tue 07:38PM CDT,,
358,SWA4016,B38M,Fort Lauderdale Intl (KFLL),Indianapolis Intl (KIND),Tue 05:48PM EDT,Tue 08:10PM EDT,,
359,SWA4087,B737,Kansas City Intl (KMCI),Orlando Intl (KMCO),Tue 05:30PM CDT,Tue 08:35PM EDT,,
360,SWA4089,B738,Denver Intl (KDEN),Albuquerque Intl Sunport (KABQ),Tue 05:53PM MDT,Tue 06:48PM MDT,,
361,SWA4096,B38M,Kahului (OGG / PHOG),Metro Oakland Intl (KOAK),Tue 09:21AM HST,Tue 05:06PM PDT,,
362,SWA410,B737,Dallas Love Fld (KDAL),Bob Hope (KBUR),Tue 06:10PM CDT,Tue 07:06PM PDT,,
363,SWA4108,B738,Orlando Intl (KMCO),William P Hobby (KHOU),Tue 07:06PM EDT,Tue 08:12PM CDT,,
364,SWA4114,B737,St Louis Lambert Intl (KSTL),San Diego Intl (KSAN),Tue 04:00PM CDT,Tue 05:26PM PDT,,
365,SWA4116,B38M,William P Hobby (KHOU),New Orleans Intl (KMSY),Tue 06:37PM CDT,Tue 07:21PM CDT,,
366,SWA4122,B738,Norfolk Intl (KORF),Chicago Midway Intl (KMDW),Tue 06:38PM EDT,Tue 07:26PM CDT,,
367,SWA4124,B38M,Phoenix Sky Harbor Intl (KPHX),Denver Intl (KDEN),Tue 04:34PM MST,Tue 06:50PM MDT,,
368,SWA4128,B38M,Chicago Midway Intl (KMDW),Nashville Intl (KBNA),Tue 06:49PM CDT,Tue 07:51PM CDT,,
369,SWA4129,B737,Tulsa Intl (KTUL),William P Hobby (KHOU),Tue 06:25PM CDT,Tue 07:39PM CDT,,
370,SWA4133,B738,Chicago Midway Intl (KMDW),Orlando Intl (KMCO),Tue 04:50PM CDT,Tue 07:53PM EDT,,
371,SWA4147,B737,Muhammad Ali Intl (KSDF),Baltimore/Washington Intl (KBWI),Tue 06:51PM EDT,Tue 07:58PM EDT,,
372,SWA4152,B737,Austin-Bergstrom Intl (KAUS),Nashville Intl (KBNA),Tue 06:17PM CDT,Tue 07:52PM CDT,,
373,SWA4153,B738,New Orleans Intl (KMSY),Hartsfield-Jackson Intl (KATL),Tue 06:18PM CDT,Tue 08:22PM EDT,,
374,SWA4157,B738,Phoenix Sky Harbor Intl (KPHX),Albuquerque Intl Sunport (KABQ),Tue 04:33PM MST,Tue 06:23PM MDT,,
375,SWA42,B38M,Dallas Love Fld (KDAL),Phoenix Sky Harbor Intl (KPHX),Tue 06:44PM CDT,Tue 07:03PM MST,,
376,SWA424,B38M,Baltimore/Washington Intl (KBWI),Long Island MacArthur (KISP),Tue 07:41PM EDT,Tue 08:31PM EDT,,
377,SWA450,B738,New Orleans Intl (KMSY),Dallas Love Fld (KDAL),Tue 06:37PM CDT,Tue 07:43PM CDT,,
378,SWA456,B737,Denver Intl (KDEN),Eppley Airfield (KOMA),Tue 05:51PM MDT,Tue 07:56PM CDT,,
379,SWA4566,B38M,Hartsfield-Jackson Intl (KATL),William P Hobby (KHOU),Tue 06:33PM EDT,Tue 07:27PM CDT,,
380,SWA457,B737,Denver Intl (KDEN),Buffalo Niagara Intl (KBUF),Tue 05:36PM MDT,Tue 10:08PM EDT,,
381,SWA459,B737,Dallas Love Fld (KDAL),Reagan National (KDCA),Tue 05:14PM CDT,Tue 08:24PM EDT,,
382,SWA4619,B737,Chicago O'Hare Intl (KORD),Dallas Love Fld (KDAL),Tue 05:33PM CDT,Tue 07:24PM CDT,,
