,"Airborne Southwest ""Southwest"" (SWA) Aircraft","Airborne Southwest ""Southwest"" (SWA) Aircraft","Airborne Southwest ""Southwest"" (SWA) Aircraft","Airborne Southwest ""Southwest"" (SWA) Aircraft","Airborne Southwest ""Southwest"" (SWA) Aircraft","Airborne Southwest ""Southwest"" (SWA) Aircraft","Airborne Southwest ""Southwest"" (SWA) Aircraft","Airborne Southwest ""Southwest"" (SWA) Aircraft"
41,SWA1388,B38M,Chicago Midway Intl (KMDW),Phoenix Sky Harbor Intl (KPHX),Tue 04:27PM CDT,Tue 05:32PM MST,,
42,SWA1393,B737,Dallas Love Fld (KDAL),San Diego Intl (KSAN),Tue 05:10PM CDT,Tue 05:54PM PDT,,
43,SWA1396,B738,Seattle-Tacoma Intl (KSEA),San Jose Int'l (KSJC),Tue 03:54PM PDT,Tue 05:32PM PDT,,
44,SWA1400,B738,Eppley Airfield (KOMA),Denver Intl (KDEN),Tue 06:34PM CDT,Tue 06:42PM MDT,,
45,SWA1411,B737,Harry Reid Intl (KLAS),Austin-Bergstrom Intl (KAUS),Tue 04:16PM PDT,Tue 08:24PM CDT,,
46,SWA1412,B737,Denver Intl (KDEN),Chicago Midway Intl (KMDW),Tue 04:35PM MDT,Tue 07:19PM CDT,,
47,SWA1413,B38M,Orlando Intl (KMCO),Bradley Intl (KBDL),Tue 07:45PM EDT,Tue 10:03PM EDT,,
48,SWA1430,B737,San Diego Intl (KSAN),Nashville Intl (KBNA),Tue 03:21PM PDT,Tue 08:36PM CDT,,
49,SWA1437,B737,Nashville Intl (KBNA),William P Hobby (KHOU),Tue 05:48PM CDT,Tue 07:35PM CDT,,
50,SWA1438,B737,Baltimore/Washington Intl (KBWI),Palm Beach Intl (KPBI),Tue 07:31PM EDT,Tue 09:33PM EDT,,
51,SWA1441,B738,Kansas City Intl (KMCI),Baltimore/Washington Intl (KBWI),Tue 05:33PM CDT,Tue 08:25PM EDT,,
52,SWA1461,B38M,Ellison Onizuka Kona Intl At Keahole (KOA / PHKO),Metro Oakland Intl (KOAK),Tue 10:38AM HST,Tue 06:21PM PDT,,
53,SWA1466,B38M,Phoenix Sky Harbor Intl (KPHX),Seattle-Tacoma Intl (KSEA),Tue 03:02PM MST,Tue 05:46PM PDT,,
54,SWA1467,B738,Milwaukee Mitchell Intl Airport (KMKE),Phoenix Sky Harbor Intl (KPHX),Tue 06:49PM CDT,Tue 08:24PM MST,,
55,SWA1468,B38M,Fort Lauderdale Intl (KFLL),Reagan National (KDCA),Tue 07:23PM EDT,Tue 09:20PM EDT,,
56,SWA1471,B738,Baltimore/Washington Intl (KBWI),Fort Lauderdale Intl (KFLL),Tue 07:04PM EDT,Tue 09:12PM EDT,,
57,SWA1476,B737,William P Hobby (KHOU),Harry Reid Intl (KLAS),Tue 04:46PM CDT,Tue 05:38PM PDT,,
58,SWA1482,B38M,Nashville Intl (KBNA),Chicago O'Hare Intl (KORD),Tue 06:24PM CDT,Tue 07:37PM CDT,,
59,SWA1487,B38M,LaGuardia (KLGA),Denver Intl (KDEN),Tue 06:05PM EDT,Tue 07:50PM MDT,,
60,SWA1493,B737,Nashville Intl (KBNA),Orlando Intl (KMCO),Tue 05:33PM CDT,Tue 07:56PM EDT,,
61,SWA1499,B738,Albuquerque Intl Sunport (KABQ),Baltimore/Washington Intl (KBWI),Tue 03:03PM MDT,Tue 08:07PM EDT,,
62,SWA1500,B38M,Lihue (LIH / PHLI),Metro Oakland Intl (KOAK),Tue 10:59AM HST,Tue 06:49PM PDT,,
63,SWA1503,B737,Phoenix Sky Harbor Intl (KPHX),St Louis Lambert Intl (KSTL),Tue 03:15PM MST,Tue 07:40PM CDT,,
64,SWA1514,B737,St Louis Lambert Intl (KSTL),Dallas Love Fld (KDAL),Tue 06:04PM CDT,Tue 07:24PM CDT,,
65,SWA1524,B737,Reagan National (KDCA),St Louis Lambert Intl (KSTL),Tue 06:52PM EDT,Tue 07:52PM CDT,,
66,SWA1528,B737,Dallas Love Fld (KDAL),Harry Reid Intl (KLAS),Tue 05:53PM CDT,Tue 06:29PM PDT,,
67,SWA1538,B738,Chicago Midway Intl (KMDW),Phoenix Sky Harbor Intl (KPHX),Tue 06:27PM CDT,Tue 07:36PM MST,,
68,SWA1560,B738,Buffalo Niagara Intl (KBUF),Chicago Midway Intl (KMDW),Tue 07:51PM EDT,Tue 08:16PM CDT,,
69,SWA1576,B38M,Reno/Tahoe Intl (KRNO),Phoenix Sky Harbor Intl (KPHX),Tue 04:25PM PDT,Tue 05:38PM MST,,
70,SWA1579,B737,San Diego Intl (KSAN),San Jose Int'l (KSJC),Tue 04:13PM PDT,Tue 05:18PM PDT,,
71,SWA1592,B737,William P Hobby (KHOU),San Diego Intl (KSAN),Tue 04:49PM CDT,Tue 05:48PM PDT,,
72,SWA1604,B737,Daugherty Field (KLGB),Austin-Bergstrom Intl (KAUS),Tue 03:34PM PDT,Tue 07:56PM CDT,,
73,SWA1626,B737,Gowen Field (KBOI),Sacramento Intl (KSMF),Tue 05:46PM MDT,Tue 05:59PM PDT,,
74,SWA1627,B737,Harry Reid Intl (KLAS),Orlando Intl (KMCO),Tue 01:58PM PDT,Tue 08:41PM EDT,,
75,SWA1651,B738,Harry Reid Intl (KLAS),Chicago Midway Intl (KMDW),Tue 02:57PM PDT,Tue 07:51PM CDT,,
76,SWA1656,B38M,Daugherty Field (KLGB),Daniel K Inouye Intl (PHNL),Tue 12:15PM PDT,Tue 02:33PM HST,,
77,SWA1670,B737,Denver Intl (KDEN),Metro Oakland Intl (KOAK),Tue 03:38PM MDT,Tue 04:53PM PDT,,
